DisplayName                                        				名称
DisplayVersion 													显示版本
InstallDate 													安装日期
InstallSource 													安装源
Language 														语言
ModifyPath 														修改命令
NoModify 														禁止修改
NoRepair 														禁止修复
Publisher 														发布者
UninstallString 												卸载命令
Version 														版本
VersionMajor 													主要版本
VersionMinor 													次要版本
HelpLink 														帮助链接
WindowsInstaller 												通过Windows Install安装
SystemComponent 												系统组件
EstimatedSize 													大小
LogFile 														日志文件
LogMode 														记录模式
URLInfoAbout 													关于链接
Comments 														注释
HelpTelephone 													技术支持电话
InstallLocation 												安装目标地址
Readme															文档所在地
URLUpdateInfo 													升级信息链接
NoRemove 														禁止删除
Contact 														联系方式
DisplayIcon 													图标
QuietUninstallString 											安静卸载模式命令
